Capture_Ch1_28072015_143901 Compressing video. Total time = 0:19:24, fps = 11.9; Frame 14000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:19:26, fps = 11.8; Frame 14000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:19:26, fps = 12.0; Frame 14000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:19:39, fps = 11.9; Frame 14000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:19:47, fps = 12.4; Frame 14500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:19:52, fps = 12.3; Frame 14500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:20:05, fps = 12.0; Frame 14500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:20:08, fps = 12.0; Frame 14500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:20:08, fps = 11.9; Frame 14500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:20:21, fps = 11.9; Frame 14500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:20:28, fps = 12.1; Frame 15000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:20:34, fps = 12.2; Frame 15000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:20:47, fps = 12.2; Frame 15000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:20:49, fps = 12.1; Frame 15000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:20:50, fps = 11.9; Frame 15000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:21:03, fps = 12.1; Frame 15000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:21:09, fps = 12.2; Frame 15500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:21:15, fps = 12.2; Frame 15500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:21:28, fps = 12.1; Frame 15500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:21:30, fps = 12.1; Frame 15500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:21:32, fps = 12.1; Frame 15500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:21:45, fps = 11.9; Frame 15500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:21:50, fps = 12.3; Frame 16000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:21:55, fps = 12.3; Frame 16000 
